method,path,New_cat_cols,model_path,schedul_path,JS divergence,Utility_XGBoost,Utility_logistic_r,matrix_distance
one_hot_encoding,datasets/phishing_websites/phishing_websites_ohe.csv,"['having_IP_Address_-1', 'having_IP_Address_1', 'URL_Length_-1', 'URL_Length_0', 'URL_Length_1', 'Shortining_Service_-1', 'Shortining_Service_1', 'having_At_Symbol_-1', 'having_At_Symbol_1', 'double_slash_redirecting_-1', 'double_slash_redirecting_1', 'Prefix_Suffix_-1', 'Prefix_Suffix_1', 'having_Sub_Domain_-1', 'having_Sub_Domain_0', 'having_Sub_Domain_1', 'SSLfinal_State_-1', 'SSLfinal_State_0', 'SSLfinal_State_1', 'Domain_registeration_length_-1', 'Domain_registeration_length_1', 'Favicon_-1', 'Favicon_1', 'port_-1', 'port_1', 'HTTPS_token_-1', 'HTTPS_token_1', 'Request_URL_-1', 'Request_URL_1', 'URL_of_Anchor_-1', 'URL_of_Anchor_0', 'URL_of_Anchor_1', 'Links_in_tags_-1', 'Links_in_tags_0', 'Links_in_tags_1', 'SFH_-1', 'SFH_0', 'SFH_1', 'Submitting_to_email_-1', 'Submitting_to_email_1', 'Abnormal_URL_-1', 'Abnormal_URL_1', 'Redirect_0', 'Redirect_1', 'on_mouseover_-1', 'on_mouseover_1', 'RightClick_-1', 'RightClick_1', 'popUpWidnow_-1', 'popUpWidnow_1', 'Iframe_-1', 'Iframe_1', 'age_of_domain_-1', 'age_of_domain_1', 'DNSRecord_-1', 'DNSRecord_1', 'web_traffic_-1', 'web_traffic_0', 'web_traffic_1', 'Page_Rank_-1', 'Page_Rank_1', 'Google_Index_-1', 'Google_Index_1', 'Links_pointing_to_page_-1', 'Links_pointing_to_page_0', 'Links_pointing_to_page_1', 'Statistical_report_-1', 'Statistical_report_1']",datasets/phishing_websites/models/ctgan_phishing_websites_one_hot_encoding_model.pkl,datasets/phishing_websites/training_schedules/ctgan_phishing_websites_one_hot_encoding_losses.png,,,,
label_encoding,datasets/phishing_websites/phishing_websites_label.csv,"['having_IP_Address', 'URL_Length', 'Shortining_Service', 'having_At_Symbol', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'SSLfinal_State', 'Domain_registeration_length', 'Favicon', 'port', 'HTTPS_token', 'Request_URL', 'URL_of_Anchor', 'Links_in_tags', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'age_of_domain', 'DNSRecord', 'web_traffic', 'Page_Rank', 'Google_Index', 'Links_pointing_to_page', 'Statistical_report', 'Result']",datasets/phishing_websites/models/ctgan_phishing_websites_label_encoding_model.pkl,datasets/phishing_websites/training_schedules/ctgan_phishing_websites_label_encoding_losses.png,,,,
frequency_encoding,datasets/phishing_websites/phishing_websites_frequency.csv,"['having_IP_Address', 'URL_Length', 'Shortining_Service', 'having_At_Symbol', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'SSLfinal_State', 'Domain_registeration_length', 'Favicon', 'port', 'HTTPS_token', 'Request_URL', 'URL_of_Anchor', 'Links_in_tags', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'age_of_domain', 'DNSRecord', 'web_traffic', 'Page_Rank', 'Google_Index', 'Links_pointing_to_page', 'Statistical_report', 'Result']",datasets/phishing_websites/models/ctgan_phishing_websites_frequency_encoding_model.pkl,datasets/phishing_websites/training_schedules/ctgan_phishing_websites_frequency_encoding_losses.png,,,,
original,datasets/phishing_websites/phishing_websites_original.csv,[],datasets/phishing_websites/models/ctgan_phishing_websites_original_model.pkl,datasets/phishing_websites/training_schedules/ctgan_phishing_websites_original_losses.png,,,,
