method,path,New_cat_cols,model_path,schedul_path,JS divergence,Utility_XGBoost,Utility_logistic_r,matrix_distance
one_hot_encoding,datasets/bank_marketing/bank_marketing_ohe.csv,"['V2_admin.', 'V2_blue-collar', 'V2_entrepreneur', 'V2_housemaid', 'V2_management', 'V2_retired', 'V2_self-employed', 'V2_services', 'V2_student', 'V2_technician', 'V2_unemployed', 'V2_unknown', 'V3_divorced', 'V3_married', 'V3_single', 'V4_primary', 'V4_secondary', 'V4_tertiary', 'V4_unknown', 'V5_no', 'V5_yes', 'V7_no', 'V7_yes', 'V8_no', 'V8_yes', 'V9_cellular', 'V9_telephone', 'V9_unknown', 'V10_1', 'V10_2', 'V10_3', 'V10_4', 'V10_5', 'V10_6', 'V10_7', 'V10_8', 'V10_9', 'V10_10', 'V10_11', 'V10_12', 'V10_13', 'V10_14', 'V10_15', 'V10_16', 'V10_17', 'V10_18', 'V10_19', 'V10_20', 'V10_21', 'V10_22', 'V10_23', 'V10_24', 'V10_25', 'V10_26', 'V10_27', 'V10_28', 'V10_29', 'V10_30', 'V10_31', 'V11_apr', 'V11_aug', 'V11_dec', 'V11_feb', 'V11_jan', 'V11_jul', 'V11_jun', 'V11_mar', 'V11_may', 'V11_nov', 'V11_oct', 'V11_sep', 'V13_1', 'V13_2', 'V13_3', 'V13_4', 'V13_5', 'V13_6', 'V13_7', 'V13_8', 'V13_9', 'V13_10', 'V13_11', 'V13_12', 'V13_13', 'V13_14', 'V13_15', 'V13_16', 'V13_17', 'V13_18', 'V13_19', 'V13_20', 'V13_21', 'V13_22', 'V13_23', 'V13_24', 'V13_25', 'V13_26', 'V13_27', 'V13_28', 'V13_29', 'V13_30', 'V13_31', 'V13_32', 'V13_33', 'V13_36', 'V13_37', 'V13_55', 'V15_0', 'V15_1', 'V15_2', 'V15_3', 'V15_4', 'V15_5', 'V15_6', 'V15_7', 'V15_8', 'V15_9', 'V15_10', 'V15_11', 'V15_12', 'V15_13', 'V15_14', 'V15_15', 'V15_16', 'V15_17', 'V15_18', 'V15_19', 'V15_20', 'V15_21', 'V15_22', 'V15_23', 'V15_24', 'V15_25', 'V15_26', 'V15_27', 'V15_28', 'V15_29', 'V15_30', 'V15_51', 'V15_58', 'V16_failure', 'V16_other', 'V16_success', 'V16_unknown']",datasets/bank_marketing/models/ctgan_bank_marketing_one_hot_encoding_model.pkl,datasets/bank_marketing/training_schedules/ctgan_bank_marketing_one_hot_encoding_losses.png,,,,
label_encoding,datasets/bank_marketing/bank_marketing_label.csv,"['V2', 'V3', 'V4', 'V5', 'V7', 'V8', 'V9', 'V10', 'V11', 'V13', 'V15', 'V16', 'Class']",datasets/bank_marketing/models/ctgan_bank_marketing_label_encoding_model.pkl,datasets/bank_marketing/training_schedules/ctgan_bank_marketing_label_encoding_losses.png,,,,
frequency_encoding,datasets/bank_marketing/bank_marketing_frequency.csv,"['V2', 'V3', 'V4', 'V5', 'V7', 'V8', 'V9', 'V10', 'V11', 'V13', 'V15', 'V16', 'Class']",datasets/bank_marketing/models/ctgan_bank_marketing_frequency_encoding_model.pkl,datasets/bank_marketing/training_schedules/ctgan_bank_marketing_frequency_encoding_losses.png,,,,
original,datasets/bank_marketing/bank_marketing_original.csv,[],,,,,,
