method,path,New_cat_cols,model_path,schedul_path,JS divergence,Utility_XGBoost,Utility_logistic_r,matrix_distance
one_hot_encoding,datasets/letter_recognition/letter_recognition_ohe.csv,"['x-box_0', 'x-box_1', 'x-box_2', 'x-box_3', 'x-box_4', 'x-box_5', 'x-box_6', 'x-box_7', 'x-box_8', 'x-box_9', 'x-box_10', 'x-box_11', 'x-box_12', 'x-box_13', 'x-box_14', 'x-box_15', 'y-box_0', 'y-box_1', 'y-box_2', 'y-box_3', 'y-box_4', 'y-box_5', 'y-box_6', 'y-box_7', 'y-box_8', 'y-box_9', 'y-box_10', 'y-box_11', 'y-box_12', 'y-box_13', 'y-box_14', 'y-box_15', 'width_0', 'width_1', 'width_2', 'width_3', 'width_4', 'width_5', 'width_6', 'width_7', 'width_8', 'width_9', 'width_10', 'width_11', 'width_12', 'width_13', 'width_14', 'width_15', 'high_0', 'high_1', 'high_2', 'high_3', 'high_4', 'high_5', 'high_6', 'high_7', 'high_8', 'high_9', 'high_10', 'high_11', 'high_12', 'high_13', 'high_14', 'high_15', 'onpix_0', 'onpix_1', 'onpix_2', 'onpix_3', 'onpix_4', 'onpix_5', 'onpix_6', 'onpix_7', 'onpix_8', 'onpix_9', 'onpix_10', 'onpix_11', 'onpix_12', 'onpix_13', 'onpix_14', 'onpix_15', 'x-bar_0', 'x-bar_1', 'x-bar_2', 'x-bar_3', 'x-bar_4', 'x-bar_5', 'x-bar_6', 'x-bar_7', 'x-bar_8', 'x-bar_9', 'x-bar_10', 'x-bar_11', 'x-bar_12', 'x-bar_13', 'x-bar_14', 'x-bar_15', 'y-bar_0', 'y-bar_1', 'y-bar_2', 'y-bar_3', 'y-bar_4', 'y-bar_5', 'y-bar_6', 'y-bar_7', 'y-bar_8', 'y-bar_9', 'y-bar_10', 'y-bar_11', 'y-bar_12', 'y-bar_13', 'y-bar_14', 'y-bar_15', 'x2bar_0', 'x2bar_1', 'x2bar_2', 'x2bar_3', 'x2bar_4', 'x2bar_5', 'x2bar_6', 'x2bar_7', 'x2bar_8', 'x2bar_9', 'x2bar_10', 'x2bar_11', 'x2bar_12', 'x2bar_13', 'x2bar_14', 'x2bar_15', 'y2bar_0', 'y2bar_1', 'y2bar_2', 'y2bar_3', 'y2bar_4', 'y2bar_5', 'y2bar_6', 'y2bar_7', 'y2bar_8', 'y2bar_9', 'y2bar_10', 'y2bar_11', 'y2bar_12', 'y2bar_13', 'y2bar_14', 'y2bar_15', 'xybar_0', 'xybar_1', 'xybar_2', 'xybar_3', 'xybar_4', 'xybar_5', 'xybar_6', 'xybar_7', 'xybar_8', 'xybar_9', 'xybar_10', 'xybar_11', 'xybar_12', 'xybar_13', 'xybar_14', 'xybar_15', 'x2ybr_0', 'x2ybr_1', 'x2ybr_2', 'x2ybr_3', 'x2ybr_4', 'x2ybr_5', 'x2ybr_6', 'x2ybr_7', 'x2ybr_8', 'x2ybr_9', 'x2ybr_10', 'x2ybr_11', 'x2ybr_12', 'x2ybr_13', 'x2ybr_14', 'x2ybr_15', 'xy2br_1', 'xy2br_2', 'xy2br_3', 'xy2br_4', 'xy2br_5', 'xy2br_6', 'xy2br_7', 'xy2br_8', 'xy2br_9', 'xy2br_10', 'xy2br_11', 'xy2br_12', 'xy2br_13', 'xy2br_14', 'xy2br_15', 'x-ege_0', 'x-ege_1', 'x-ege_2', 'x-ege_3', 'x-ege_4', 'x-ege_5', 'x-ege_6', 'x-ege_7', 'x-ege_8', 'x-ege_9', 'x-ege_10', 'x-ege_11', 'x-ege_12', 'x-ege_13', 'x-ege_14', 'x-ege_15', 'xegvy_0', 'xegvy_1', 'xegvy_2', 'xegvy_3', 'xegvy_4', 'xegvy_5', 'xegvy_6', 'xegvy_7', 'xegvy_8', 'xegvy_9', 'xegvy_10', 'xegvy_11', 'xegvy_12', 'xegvy_13', 'xegvy_14', 'xegvy_15', 'y-ege_0', 'y-ege_1', 'y-ege_2', 'y-ege_3', 'y-ege_4', 'y-ege_5', 'y-ege_6', 'y-ege_7', 'y-ege_8', 'y-ege_9', 'y-ege_10', 'y-ege_11', 'y-ege_12', 'y-ege_13', 'y-ege_14', 'y-ege_15', 'yegvx_0', 'yegvx_1', 'yegvx_2', 'yegvx_3', 'yegvx_4', 'yegvx_5', 'yegvx_6', 'yegvx_7', 'yegvx_8', 'yegvx_9', 'yegvx_10', 'yegvx_11', 'yegvx_12', 'yegvx_13', 'yegvx_14', 'yegvx_15']",datasets/letter_recognition/models/ctgan_letter_recognition_one_hot_encoding_model.pkl,datasets/letter_recognition/training_schedules/ctgan_letter_recognition_one_hot_encoding_losses.png,,,,
label_encoding,datasets/letter_recognition/letter_recognition_label.csv,"['x-box', 'y-box', 'width', 'high', 'onpix', 'x-bar', 'y-bar', 'x2bar', 'y2bar', 'xybar', 'x2ybr', 'xy2br', 'x-ege', 'xegvy', 'y-ege', 'yegvx', 'class']",datasets/letter_recognition/models/ctgan_letter_recognition_label_encoding_model.pkl,datasets/letter_recognition/training_schedules/ctgan_letter_recognition_label_encoding_losses.png,,,,
frequency_encoding,datasets/letter_recognition/letter_recognition_frequency.csv,"['x-box', 'y-box', 'width', 'high', 'onpix', 'x-bar', 'y-bar', 'x2bar', 'y2bar', 'xybar', 'x2ybr', 'xy2br', 'x-ege', 'xegvy', 'y-ege', 'yegvx', 'class']",datasets/letter_recognition/models/ctgan_letter_recognition_frequency_encoding_model.pkl,datasets/letter_recognition/training_schedules/ctgan_letter_recognition_frequency_encoding_losses.png,,,,
original,datasets/letter_recognition/letter_recognition_original.csv,[],datasets/letter_recognition/models/ctgan_letter_recognition_original_model.pkl,datasets/letter_recognition/training_schedules/ctgan_letter_recognition_original_losses.png,,,,
